"CBSA","Old.CBSA","CBSA.Name","Flag.CBSA.availability","Land.sqr.m"
10180,10180,"Abilene",1,7105577172
10420,10420,"Akron",1,2331559673
10500,10500,"Albany",1,5005396089
10540,10540,"Albany",0,NA
10580,10580,"Albany-Schenectady-Troy",1,7282102997
10740,10740,"Albuquerque",1,24041236357
10780,10780,"Alexandria",1,5079054577
10900,10900,"Allentown-Bethlehem-Easton",1,3763885926
11020,11020,"Altoona",1,1361815260
11100,11100,"Amarillo",1,9451545446
11180,11180,"Ames",1,1483235354
11260,11260,"Anchorage",0,NA
11460,11460,"Ann Arbor",1,1828449806
11500,11500,"Anniston-Oxford-Jacksonville",1,1569185180
11540,11540,"Appleton",1,2475440889
11700,11700,"Asheville",1,5265364024
12020,12020,"Athens-Clarke County",1,2654353463
12060,12060,"Atlanta-Sandy Springs-Roswell",1,21598353928
12100,12100,"Atlantic City-Hammonton",1,1439268094
12220,12220,"Auburn-Opelika",1,1573552192
12260,12260,"Augusta-Richmond County",1,8469980939
12420,12420,"Austin-Round Rock",1,10929917880
12540,12540,"Bakersfield",1,21061654440
12580,12580,"Baltimore-Columbia-Towson",1,6737919899
12620,12620,"Bangor",1,8799095103
12700,12700,"Barnstable Town",1,1019719743
12940,12940,"Baton Rouge",1,10429612522
12980,12980,"Battle Creek",1,1829142361
13020,13020,"Bay City",1,1145562210
13140,13140,"Beaumont-Port Arthur",1,5440688215
13220,13220,"Beckley",0,NA
13380,13380,"Bellingham",1,5456774576
13460,13460,"Bend-Redmond",1,7817043366
13740,13740,"Billings",1,12126536696
13780,13780,"Binghamton",1,3171119139
13820,13820,"Birmingham-Hoover",1,13674030102
13900,13900,"Bismarck",1,9217518510
13980,13980,"Blacksburg-Christiansburg-Radford",1,2777830307
14020,14020,"Bloomington",1,3424765022
14060,14010,"Bloomington",1,3064861287
14100,14100,"Bloomsburg-Berwick",0,NA
14260,14260,"Boise City",1,30472817024
14460,14460,"Boston-Cambridge-Newton",1,9032763156
14500,14500,"Boulder",1,1881236301
14540,14540,"Bowling Green",1,2187205722
14740,14740,"Bremerton-Silverdale",1,1022922102
14860,14860,"Bridgeport-Stamford-Norwalk",1,1618656350
15180,15180,"Brownsville-Harlingen",1,2307811180
15260,15260,"Brunswick",1,3331971733
15380,15380,"Buffalo-Cheektowaga-Niagara Falls",1,4053478092
15500,15500,"Burlington",1,1097708416
15540,15540,"Burlington-South Burlington",1,3242921419
15940,15940,"Canton-Massillon",1,2512120402
15980,15980,"Cape Coral-Fort Myers",1,2031503438
16020,16020,"Cape Girardeau",1,3708762137
16060,16060,"Carbondale-Marion",0,NA
16180,16180,"Carson City",0,374670721
16220,16220,"Casper",1,13831861054
16300,16300,"Cedar Rapids",1,5202717766
