"CBSA","pop.2010","pop.est.2011","pop.est.2012","pop.est.2013","pop.est.2014","pop.est.2015","pop.est.2016","gdp.2015","emp.2015","pat.2000","pub.2010"
10180,165252,166651,167540,167609,168465,169893,170364,6972,63960,39,384.000000032
10420,703200,703115,702477,703433,704355,703358,702221,35365,327340,3080,15589.00000025
10500,157308,157814,157322,155953,155154,153508,152219,5099,58230,48,516.999999992
10580,870716,873214,875637,878401,879775,880803,881839,50910,442510,5650,36074.000001
10740,887077,896818,900781,902911,903658,905174,909906,41561,381570,2128,38066.99999818
10780,153922,154426,154588,154828,154861,154662,154789,5650,61110,54,450.999999968
10900,821173,825160,827294,827238,830452,833049,835652,41116,354700,3153,12096.00000048
11020,127089,127178,126991,126419,126019,125506,124650,5314,58110,57,338.999999998
11100,251933,256008,257784,258952,260858,261613,263342,12825,115420,121,1877.999999965
11180,89542,90864,91799,93569,95366,96346,97090,4871,43690,625,31606.000000863
11460,344791,349071,351299,354573,358980,360847,364709,21473,210990,3978,110874.0000088
11500,118572,117736,117208,116475,115837,115285,114611,3755,41150,50,203.999999999
11540,225666,227502,228669,229935,231525,233056,234079,12002,122800,1403,477.000000003
11700,424858,428403,431888,437020,441258,446138,452319,17302,185430,545,1824.000000137
12020,192541,194634,196370,197793,198787,202822,205290,8271,82830,334,28535.99999915
12060,5286728,5373558,5452145,5517230,5605765,5699050,5789700,344590,2553370,11319,126985.9999946
12100,274549,275017,275604,275784,274715,273035,270991,12567,125950,153,749.000000016
12220,140247,144123,148289,151411,154277,156767,158991,4856,53940,174,11632.00000037
12260,564873,570925,576549,579840,583462,590047,594919,22834,213890,409,15271.999999615
12420,1716289,1780819,1834319,1882856,1941389,1998104,2056405,127583,965100,18258,49775.99999883
12540,839631,849484,855808,864454,872138,879497,884788,36466,294060,612,2324.999999963
12580,2710489,2735170,2755622,2771765,2784254,2793837,2798886,179416,1343320,5962,178718.0000002
12620,153923,153814,153589,153518,153500,152478,151806,5775,64230,97,5746.00000025
12700,215888,215372,214915,214844,214858,214621,214276,10741,101910,407,9282.000000484
12940,802484,808397,813756,819507,825155,829741,835175,51096,395980,974,23201.99999876
12980,136146,135245,134777,134869,134976,134447,134386,5864,54360,205,467.999999992
13020,107771,107498,107091,106910,106232,105557,104747,3202,34730,249,2532.0000002
13140,403190,405226,403668,405225,405407,408261,409968,24994,162390,195,1105.999999974
13380,201140,203482,205008,206348,208325,212164,216800,10049,82170,360,1665.999999967
13460,157733,159775,161765,165859,170193,174942,181307,8459,75070,367,422.000000019
13740,158934,160768,162853,165155,166739,168164,169728,10078,86300,68,497.000000046
13780,251725,250404,249219,248498,247462,245879,244094,9223,101790,1741,5269.99999998
13820,1128047,1130857,1133917,1138578,1141775,1144857,1147417,61063,504600,865,46379.00000223
13900,114778,117384,120254,124035,126754,129717,131635,8087,74310,90,510
13980,178237,178893,179560,180875,181429,181701,182876,7066,69280,595,24019.00000069
14020,159549,161712,162673,163110,164466,165066,166336,6654,67450,307,17204.00000007
14060,186133,187336,189057,191162,190086,188933,188644,11214,90060,203,3321.999999943
14260,616561,627610,637527,649653,664024,675777,691423,30423,296390,14129,4322.999999848
14460,4552402,4608410,4652011,4696293,4734711,4766755,4794447,406002,2541080,32329,472143.999974
14500,294567,300597,305350,310287,313204,318738,322226,23212,176230,5361,50086.00000571
14540,158599,160761,162207,164114,165942,168620,171122,6774,72040,87,1249.000000033
14740,251133,254451,254729,253114,254272,260514,264811,10377,83880,483,597.99999999
14860,916829,928890,934931,940621,943686,944674,944177,99421,498450,5545,6749.00000028
15180,406220,412937,415445,417260,419191,419893,422135,10011,137640,47,605.999999971
15260,112370,113031,113407,113872,114750,116022,116784,3758,39770,44,74.999999997
15380,1135509,1135817,1135633,1136417,1137186,1135479,1132804,56210,548620,2721,37344.00000261
15500,151131,152847,153659,154622,156036,157857,159688,4989,59210,178,133.999999993
15540,211261,212890,214006,215223,216537,217273,217365,13137,123220,3472,15612.00000016
